session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes,assignment_note,segment_track_rows
session_20260703_205540,standing_1m,center,STANDING,STANDING,1.0,CENTER,4.000,50.500,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=863; dominant_tid_ratio=1.000; tid_counts={0: 844},dominant_tid_ratio=1.000; tid_counts={0: 844},844
session_20260703_205540,standing_2m,center,STANDING,STANDING,2.0,CENTER,60.516,103.954,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=812; dominant_tid_ratio=1.000; tid_counts={0: 790},dominant_tid_ratio=1.000; tid_counts={0: 790},790
session_20260703_205540,standing_3m,center,STANDING,STANDING,3.0,CENTER,113.969,157.641,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=803; dominant_tid_ratio=1.000; tid_counts={0: 793},dominant_tid_ratio=1.000; tid_counts={0: 793},793
session_20260703_205540,standing_4m,center,STANDING,STANDING,4.0,CENTER,167.688,208.032,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=719; dominant_tid_ratio=1.000; tid_counts={0: 739},dominant_tid_ratio=1.000; tid_counts={0: 739},739
session_20260703_205540,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,228.625,290.922,HIGH,3,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=1096; dominant_tid_ratio=1.000; tid_counts={3: 1130},dominant_tid_ratio=1.000; tid_counts={3: 1130},1130
session_20260703_205540,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,300.954,323.641,LOW,3,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=504; dominant_tid_ratio=1.000; tid_counts={3: 416},dominant_tid_ratio=1.000; tid_counts={3: 416},416
session_20260703_205540,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,389.313,414.329,LOW,6,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=522; dominant_tid_ratio=1.000; tid_counts={6: 454},dominant_tid_ratio=1.000; tid_counts={6: 454},454
session_20260703_205540,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,474.907,506.735,MEDIUM,7,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=602; dominant_tid_ratio=1.000; tid_counts={7: 556},dominant_tid_ratio=1.000; tid_counts={7: 556},556
sitting_ab_default_cfg,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,4.000,77.719,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; corrected protocol includes 1m; auto range plateau tol=0.35m samples=1447; dominant_tid_ratio=1.000; tid_counts={0: 1341},dominant_tid_ratio=1.000; tid_counts={0: 1341},1341
sitting_ab_default_cfg,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,87.734,158.234,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=1397; dominant_tid_ratio=1.000; tid_counts={0: 1282},dominant_tid_ratio=1.000; tid_counts={0: 1282},1282
